valsi	lojban	english	type_discrepancy
misno	le lisri be le nu pa le ralju dinju cu se darxi so'o vlipa dacti pu traji le ka misno le xabju be le bu'u gugde	The story of one of the main buildings being hit by some powerful objects was one of the most famous events for people of this country.	
misno	la kevin co'a jai misno fai le nu ri finti le cfika	Kevin became famous as an author of fiction.	
misno	la kevin pu zenba le ka jai misno fai le nu ri finti le cfika	Kevin rose to fame by writing fiction.	
mitre	ti voi tanxe cu mitre li pa le ka clani	This box is one meter in length.	
mixre	le vacri cu mixre so'o gapci	Air is a mixture of several gases.	
mlana	le mi'u tanxe cu mlana le mi'u bitmu	The box is to the side of the wall.	
mlatu	le ka kucli cu catra le mlatu	Curiosity killed the cat.	
mlatu	mi ralte pa mlatu e pa gerku	I keep a cat and a dog.	
mleca	pe'i le tcati cu mleca le ckafi le ka kukte vau so'i da	I think tea is much less tasty than coffee.	
mledi	le mledi pu sinxa le nu le mi'u kumfa cu cilmo	Mold was a sign that the room was damp.	
mluni	so'i da rutni mluni le mi'u terdi	There are many satellites orbiting the Earth.	
mokca	le nu jamna cu mokca po'o le remna citri	The war is just a point in human history.	
mokca	le mi'u terdi cu mokca po'o le mi'u munje	The Earth is just a point in the Universe.	
moklu	e'e kalri fa le moklu be do	Open your mouth.	
molki	ti molki le ka zalvi le gurni	This is a mill grinding grain.	
molro	lo ka tabno gi'e grake li pa re cu ka molro li pa	12 grams of carbon is one mole in amount.	
morji	mi morji fi le bu'u tcadu fe le du'u pu za le nanca be li pa no no cu ralju tcadu le bu'u gugde	I remember about this city that 100 years ago it was the main city of this country.	
morji	mi co'u morji le du'u sarcu fa le nu mi cusku ma kau	I forgot what to say.	
morna	mi nelci le morna be le pezli bei le du'u le gunma be ri cu cirkulo	I like patterns of leaves that form circles.	
morsi	xo da pu co'a morsi	How many died?	
mosra	le mi'u mlatu pu ru'i se mosra le kerfa be mi le milxe	The cat was mildly rubbing against my head.	
mosra	ai mi jai gau mosra fi le mi'u jubme fe le bukpu	I'm going to wipe the table with a cloth.	
mraji	ra crepu le mraji	He is harvesting rye.	
mrilu	mi pu mrilu pa se dunda pa pendo pa diklo tcana pa sivni	I mailed a present to a friend from a local post office via a private mail system.	
mrilu	mi pu mrilu pa notci fu le kibro	I sent a message via the internet.	
mruli	mi ne se pi'o pa mruli pu setca pa dinko le mi'u bitmu	Using a hammer I hammered a nail into the wall.	
mruli	ti zmiku mruli le ka setca le dinko se pi'o ce'u vau le barda le matra	This is an automatic hammer for nailing with a large head propelled by a motor.	
mucti	le cmaci cu saske le mucti	Mathematics studies immaterial things.	
mudri	ti mudri le laldo	This is wood from old trees.	
mukti	le nu mi vasxu cu mukti fi mi fe le ka klama se ka'a le purdi	My breathing is my motive to go to a garden.	
mukti	ro nu finti cu se mukti su'o nu nitcu	Necessity is the motive for every invention.	
mukti	mi te mukti le ka vitke la paris	I am going to visit Paris.	
mulno	mi mulno le ka na kakne le ka tavla fo le fraso	I can't speak French at all.	
mulno	do mulno le ka jai fenki	You are completely crazy.	
munje	la .alis. cu se zdani le munje be le se xanri be le nei	Alice lives in the world of her fantasies.	
mupli	le danlu pendo pe mi cu mupli le ka ca da co'a morsi vau lo'i mabru	My pet is an example that at one point all mammals die.	
mupli	le bisli noi ca'o runme cu mupli lo ka cenba kei lo'i marji	The melting piece of ice is an illustration that instances of matter change	
mupli	ti mupli lo ka narji kei lo'i mlatu	Here is an example of a cat that is orange.	
murta	le dilnu cu murta le tsani	Clouds are curtains of the sky.	
muslo	le mi'u za'u mei pu casnu le flalu be fi le muslo	They discussed Muslim law.	
mutce	.i ti mutce le ka kargu	This is very expensive.	
mutce	.i mi mutce le ka senpi	I highly doubt that.	
muvdu	le mi'u prenu cu muvdu le bartu le mi'u dinju le mi'u canko	The person is moving to the outside from the building via the window.	
muvdu	la alis ba jai gau muvdu fai le mi'u tanxe pa drata kumfa	Alice will move the box to another room.	
muzga	ai mi vitke le muzga be le danlu	I'm going to visit the Zoo.	
muzga	ma stuzi le mi'u muzga be le arte	Where is the museum of art?	
nabmi	le ka ze'a denpa na nabmi mi	To wait for a while is not a problem for me.	
nakni	ti nakni le mlatu le ka se nakpinji	This is a male cat since it has a penis.	
nalci	le nalci be le mi'u cipni cu spofu	The bird has its wing broken.	
namcu	li bi namcu	8 is a number.	
nanba	e'o le blabi nanba e le matne	White bread and butter, please!	
nanba	mi pu smaka le mi'u nanba	I tasted the bread.	
nanca	mi nanca li re mu	I am 25 years old.	
nanca	mi se zdani ti ze'a le nanca be li vo	I have been living here for 4 years.	
nandu	nandu mi fa le ka cadzu ti voi cicfoi	It's hard for me to wade through this forest.	
nanla	tu noi nanla cu mo	Who is that boy?	
nanmu	o'i le mi'u nanmu cu jgari pa xarci	Careful, the man is holding a gun!	
nanvi	mi ganse le boxna be fo le nanvi be le ka mitre li ji'i xa mu no bei le ka clani	I sense the wave of approximately 650 nanometers in length.	
narge	ti narge pa kokso le rotsu pa kukte	This is a coconut with a thick shell and a tasty kernel.	
narju	le mi'u solri cu narju	The sun is orange.	
natfe	le du'u la edvard pu zvati la nipon cu natfe le se sruma be mi	The fact that Eduard was in Japan contradicts my assumption.	
natmi	le se natmi be ma cu se zdani le vi se kuspe	People of what nationality live in this area?	
natmi	do se natmi ma	What is your nationality?	
natmi	.i mi se natmi	I belong to an ethnic group.	
navni	la argon cu navni	Argon is an inert gas.	
naxle	da jdika naxle pa lalxe pa rirxe le foldi be le se xrula	There is a narrow channel to a pool from a river, it goes through flower fields.	
nazbi	le nazbi be do cu lenku	Your have a cold nose.	
nejni	ba barda fa le nejni be le ka muvdu bei ti noi rokci	It will consume a lot of energy to move this rock.	
nelci	mi nelci ro nu do cusku le simsa	I like whenever you say such things.	
nelci	mi nelci lo'e ckafi ne se mau	I prefer coffee.	
nenri	rau finpe cu nenri le vi rirxe	There are plenty of fish in this river.	
nenri	le mi'u ctuca pu klama le nenri	The teacher came in.	
nenri	mi pu punji fi le nenri be le minji be le nu lenku	I put it into the fridge.	
nibli	da zo'u le ka djica da cu nibli le ka claxu da	Wanting something implies lacking it.	
nibli	ka'u le frili na nibli le ka xamgu	Being easy doesn't imply that it is good.	
nicte	a'o pluka nicte	Good night! (a well-wish)	
nicte	mi ba zvati le boske ca le nicte be le cabdei bei vo'e	Tonight I will be in the forest.	
nikle	le nikle cu me le jinme poi jdari gi'e se romge	Nickel is a hard metal with reflective surface.	
nilce	le za'u vi te gusni cu nilce le mi'u kumfa le ka ri jai zdile	These light sources furnish the room in a way that makes it amusing.	
nimre	ti noi nimre cu kukte gi'i kurki	Is this citrus sweet or bitter?	
ninmu	pa melbi ninmu poi se kerfa le pelxu pu cadzu bu'u le mi'u panka	A pretty woman with yellow hair was walking in the park.	
nirna	le nirna be pa degji be mi cu spofu	Nerves in my finger don't work.	
nitcu	mi nitcu le nu mi di'a zvati le zdani vau le nu mi cpacu lei ckiku	I need to return home to get the keys.	
nitcu	mi nitcu le nu da tavla mi	I need someone to talk to me.	
nivji	le mi'u nixli cu nivji pa creka le lanme sunla	The girl is knitting a sweater from fleece.	
nixli	le mi'u nixli cu cisma fa'a mi	The girl smiled at me.	
nobli	le mi'u nixli cu nobli le ka tarti	The girl is aristocratic in her behavior.	
nobli	mi nobli le ka jbena ma kau	I am noble by birth.	
notci	mi pu zukte le ka da notci le cipra gi'e se jufra lu mi'a nu'o djuno li'u	I made a statement about the experiment: "We don't know yet."	
notci	le turni ba skicu pa notci be le cnino jikni	The governor will announce a new economic system.	
nudle	mi pu citka le stasu poi vasru le nudle	I ate a soup with noodles.	
nudle	mi pu citka le nudle ca le cabdei pa re'u	Today was the first time I ate noodles.	
nukni	le mi'u pa xrula cu nukni	The flower has a magenta color.	
nupre	mi pu nupre fi la alis le nu mi sidju ri va'o le nu ri smaji	I promised Alice I would help her, on condition that she stay silent.	
nurma	le mi'u nurma cu jai pluka	The countryside is pleasant.	
nutli	la lojban cu nutli le ka ma kau mapti ce'u le ka traji fi le kulnu	Lojban is neutral in terms of what culture matches it best.	
nuzba	ma nuzba	What's up? What are the news?	
nuzba	no da nuzba fi mi fo do	No news from me for you.	
nuzba	le nuzba be le mi'u tcini pu se terpa	News about the situation were frightening.	
nuzba	nuzba fa le nu mi pu te vecnu pa fonxa	The news are that I bought a phone.	
nuzba	le du'u no da nuzba cu xamgu nuzba	No news are good news.	
pacna	mi pacna fi li so'a fe le nu solri ba zi	I hope it will be sunny soon.	
pacna	mi pacna fi li so'u fe le nu do klama	I wish you came.	
pagbu	le risna cu pagbu le xadni	Heart is a part of body.	
pagre	le mi'u trene mo'u pagre le mi'u manku kevna pa nurma le jarbu	The train passed the dark hole to reach a rural area from the suburbs of the city.	
pajni	le mi'u te cange pu pajni le du'u xu kau le grute cu makcu	The farmer was deciding whether fruits were ripe.	
palci	pu se palci do fa le ka lebna le jdini	It was wicked of you to take money.	
palku	xu do ca dasni le palku	Are you wearing trousers?	
palma	mi pu cpare le palma tricu	I climbed a palm tree.	
palne	ti palne le palta jo'u le kabri	This is a tray with plates and cups on it.	
palpi	mi palpi le sefta be le najnimre i ri se sefta le xutla	I can touch-feel the surface of an orange. It is soft.	
palta	mi pu jai gau porpi fai le palta	I broke a plate.	
palta	le mi'u palta co'a porpi	The plate got broken.	
pambe	ti pambe le vacri le xislu le bartu	This is a pump for filling up the air into wheels from the outside.	
panci	mi sumne le panci be le najnimre i ri se panci le xrula	I can smell a scent of an orange. It has a scent of flowers.	
panci	mi te panci le najnimre le xrula	I can smell an orange smelling of flowers.	
panci	le mi'u kumfa cu je'a se panci le mabla	The room really stinks.	
panci	iu nai panci fa le kalci	Yuck, it smells like shit.	
panje	le mi'u panje cu cokcu le so'i djacu	The sponge absorbs a lot of water.	
panka	mi se pluka le ka cadzu bu'u le panka fau le ka kansa lei pendo be mi	I like to walk in the parks with my friends.	
panlo	ti panlo le nanba	This is a slice of bread.	
panpi	le mi'u mensi ca panpi le bruna be vo'a	The sister is now at piece with her brother.	
panra	zo pacna zo kanpe panra le ka valsi le ka djica	The word {pacna} is parallel to {kanpe} differing in that {pacna} describes desire and {kanpe} doesn't.	
pante	le za'u gunka pu pante le nu lei turni cu pleji lo jdima fi lei za'u gunka vau lei turni ta'i le nu de'a gunka	Workers complained to management about how management paid them, by stopping work.	
panzi	le mi'u nixli cu panzi la alis	The girl is Alice's child.	
papri	ko catlu ti noi papri le cukta	Look at this page of the book.	
parbi	li re parbi li vo li re	2 is the ratio of 4 with respect to 2.	
parbi	le cmalu cu parbi le temci be le cabna bei le nu cliva vau le temci be le nu cliva bei le nu volta	It's a small fraction of the time from now until leaving with respect to the time from leaving until returning.	
parji	le vi curnu cu parji le xarju	This worm is a parasite in pigs.	
pastu	do poi dasni ti noi pastu cu simlu le ka citno nixli	In this dress, you look like a young girl.	
patfu	le patfu be mi cu gunka bu'u la tokiios	My father works in Tokio.	
patlu	au pei stasu le patlu	Would you like potato soup?	
patxu	mi pu bevri pa patxu be le djacu	I brought a pot of water.	
pelji	mi pu ciska pa xatra le blabi pelji	I wrote a letter on a white paper.	
pelxu	le'e badna cu pelxu	A typical banana is yellow.	
pemci	mi finti le pemci be le vrici prenu	I create poems about different people.	
penbi	tu penbi le blanu e nai le xekri	That is a blue, not black pen.	
pencu	mi pu pencu le vorme ta'i le nu mi pilno le canpa	I touched a worm with a spade.	
pendo	xu la alis cu pendo do	Is Alice your friend?	
penmi	mi mutce se pluka le ka penmi do	I am pleased to meet you.	
penmi	mi pu penmi pa cizra prenu le jipno be le mi'u cmana	I encountered a strange person at the tip of the mountain.	
pensi	mi pensi le nu mi pu zvati ma kau	I'm thinking of where I was.	
pensi	mi pu pensi le nu mi volta le mi'u zdani	I was thinking of returning back home.	
perli	mi binxo le perli se ja'e le nu mi citka le perli	I become a pear because I eat pears.	
pesxu	au flaume pesxu	I'd like some plum jam.	
petso	lo ka kantu lo ka gusni cu ka muvdu ca ro snidu fo lu'i lo petso be le ka mitre be li ji'i so pi mu vau bei le ka clani	1 light-year is approximately 9.5 Petameters (Pm).	
pezli	le pezli be le tricu co'a pelxu ca le critu	Leaves of tress become yellow in the autumn.	
picti	lo ka ratni loi cidro cu ka picti le ka mitre li re mu vau le ka clani	The atom of hydrogen is 25 picometers in size.	
pijne	ko dunda fi mi fe pa pijne be le pelji	Give me a pin for fastening paper.	
pikci	la kevin pu pikci la alis le ka stali	Kevin begged Alice to stay.	x3: definition expects (Entity or nu, Event) thing begged for; example uses "le ka stali" (ka, Property), not Entity or nu.
pikta	mi pu te vecnu re pikta be le verba bei le ka klama la boston	I bought two child tickets to Boston.	
pilda	le flira be do cu pilda i ma krinu	Your face is pale. What happened?	
pilji	li bi pilji li re li vo	8 = 4 x 2.	
pilka	le mi'u najnimre co'u se pilka	The orange has been peeled off.	
pilka	mi pu vimcu le pilka be le mi'u plise	I peeled the apple off.	
pilka	le pilka be le mi'u plise cu cinla	The peel of the apple is thin.	
pilno	.i ra pu pilno le skami le nu facki le se nitcu	He used a computer to get the necessary information.	
pimlu	ti pimlu le cipni pe mi	This is a feather of my bird.	
pinca	le pinca be ko cu zvati le patxu	Pee to the pot.	
pindi	le mi'u nakni cu pindi le ka ponse no xirma	He is poor in that he doesn't own a horse.	
pinfu	mi'a pu pinfu le zdani be mi'a le nu snime carvi	We became prisoners of our home due to the snowfall.	
pinka	mi pu cusku fi lei rirni fe pa pinka be le nu pu se srera fa le nu klama le bartu ca le nu carvi	I commented to the parents that going outside while it had been raining had been a mistake.	
pinka	au nai mi cusku le pinka	I have no comment.	
pinka	le mi'u nakni pu cusku le zabna pinka be le mi'u cukta	He made a nice comment about the book.	
pinsi	ti pinsi le xunre	This is a red pencil.	
pinta	le nanmu pu ku pinta gi'e la'a sipna	The man was in horizontal position and was probably sleeping.	
pinxe	mi pinxe le tcati le mi'u kabri	I drink tea from the cup.	
pinxe	mi pu pinxe le glare ckafi pa kabri	I drank a cup of hot coffee from a cup.	
pipno	xu do zgipli le pipno	Do you play the piano?	
pixra	ti pixra pa zbani mi poi pu zvati la nipon	This is a picture of the coast that I made when I was in Japan.	
plana	le mi'u nanla cu plana le ka se betfu	The boy is fat with his belly.	
platu	mi platu le ka klama la nipon vau le ka surla	I'm planning to go to Japan to take rest.	x2 and x3: definition expects x₂ (Entity) plan, x₃ (nu, Event); example uses "le ka klama" and "le ka surla" (ka), not Entity/nu.
pleji	mi pu pleji le se jerna le bersa be mi le ka sidju mi	I paid my son for what he earned for helping me.	
plibu	la edvard pu darxi le plibu be mi le jamfu	Eduard hit my pubis with a foot.	
plipe	le mlatu pu plipe le bartu le dertu le galtu be le mi'u bitmu	The cat jumped to the outside from the ground over the fence.	
plise	le mi'u za'u plise cu makcu	The apples are ripe.	
plita	le toldi poi cpare le za'u xrula pe le mi'u loldi co'a se plita le melbi	Butterflies creeping along the flowers formed a beautiful flat shape.	
plixa	le mi'u te cange pu plixa le dertu pa barda	The farmer ploughed the ground using a large plow.	
pluja	le mi'u tcini cu pluja le ka se ciksi	The situation is hard to explain.	
pluka	mi se pluka le ka ci'erkei la tenis	I like playing tennis.	
pluka	mi se pluka le ka limna le xamsi	I enjoy swimming in the sea.	
pluta	pluta le aftobuso tcana ti fa le nu klama le zunle gi'e ba bo ze'a klama le crane gi'e ba bo klama le pritu	The route to the bus station from here is the following: you turn left, then go straight for a while, and then turn right.	
polje	mi pu polje pa boxfo so'i da	I wrinkled the sheet of paper in several places.	
ponjo	xu ti me le misno ke ponjo finpe	Is this a famous Japanese fish?	
ponse	le mi'u prenu cu ponse pa karce le zekri	The person owns the car illegally (not under official law).	
porpi	le mi'u palta mo'u porpi so'i cmalu	The plate broke into many small pieces.	
porsi	li pa ce'o li re ce'o li ci cu porsi le ka ce'u se dubmau ce'u vau le'i namcu	1, 2, 3 is a sequence of numbers where a number to the left is less than the number to the right.	
porsi	mi pu ganse le po'o porsi be fi le'i valsi i je mi na pu jimpe fi le smuni be le porsi	I could only see a sequence of words, the sequence the meaning of which I couldn't understand.	
porto	ra tavla fo le porto	She speaks Portuguese.	
prali	ma prali do le ka tcidu le se cukta poi vasru no pixra	What the use to you of reading a book that has no pictures?	
prami	mi prami do	I love you.	
prane	xu mi na prane le ka melbi	Am I not perfect in my beauty?	
prane	mi prane le ka vitke le rirni de'i ro li jy dy ze	I visit my parents every Sunday without fail.	
preja	le carvi pu fanta le nu le fagri cu preja le boske le mi'u foldi	The rain kept the fire from spreading to the forest from the field.	
prenu	.i le xo prenu ca zvati ti voi kumfa	How many people are in this room now?	
preti	mi pu cusku le preti poi du lu ma nuzba li'u	I asked a question, "What are the news?"	
prije	do pu ja'a sai prije le ka skicu la'e di'u mi	It was really wise of you to tell me about it.	
prije	mi pu prije le ka vecnu le mi'u karce	You were wise to sell the car.	
prina	le mi'u minji na te prina le pelji le papri	The machine isn't printing the document on the paper.	
pritu	le mi'u nanmu cu pritu le mi'u dinju mi	The man is to the right of the house from my position.	
proga	mi co'i finti pa proga be le nu zmiku satre le mlatu	I have written a computer program for giving cats strokes automatically.	
prosa	ti cukta le prosa be le za'u kulnu	This book contains prose about cultures.	
pruce	le nu zbasu le nanba cu pruce le purmo jo'u le djacu jo'u le sovda le nanba {le nu mixre vo'e vau} jo'u ba bo {le nu jukpa}	Making bread is a process with ingredients flour, water and eggs where {one mixes them} and then {cooks}.	
pruni	le mi'u bolci cu plipe ki'u le ka pruni	The ball bounces because it is elastic.	
pruxi	xu do terpa tu'a le pruxi	Are you afraid of ghosts?	
pulce	le pulce pu gacri le mi'u loldi	Dust covered the floor.	
pulce	le pulce brife cu muvdu ti	A dust storm is coming.	
pulce	le mi'u dargu cu culno le pulce	The road is dusty.	
pulji	le mi'u prenu cu pulji le nu le klaji cu smaji	The person is a police officer enforcing silence in the street.	
pulni	ti pulni le nu cpacu le djacu le mi'u jinto vau le mudri	This is a wooden pulley to lift water from the well.	
punji	e'o do punji le mi'u kabri le mi'u jubme	Please, put the cup onto the table!	
dunda	doi le nobli do e'o dunda le ka virnu vau mi	Lord, put courage into my heart!	
cinmo	le skina pu jai rinka le nu mi cinmo lo ka gleki	The movie put me in a happy mood.	
punli	pu snime punli le mi'u dargu	It was a clump of snow on the road.	
punli	da punli le stedu be mi	I have a swelling on my head.	
purci	le nu la kevin cu cliva pu purci le nu mi mo'u klama le xotli	Kevin left earlier than I arrived at the hotel.	
purdi	ti purdi lei rirni be mi le vrici	This is my parents' garden where different crops are grown.	
purmo	ti purmo le gurni	This is flour.	
racli	racli fau da'i	That would make sense.	
racli	racli fa le nu do pu cuxna le ka tavla bau la lojban	It's rational that you chose to talk in Lojban.	
ractu	le ractu zi co'a se panzi	Rabbits breed quickly.	
radno	ti voi jganu cu radno li pa	This angle subtends one radian.	
rafsi	ra'oi gau rafsi zo gasnu	 'gau' is a rafsi of the verb {gasnu}.	
ragve	pa cribe cu ragve le mi'u rirxe mi	A bear is across the river from me.	
ragve	.i le berti cu ragve le plise mi	The apple is to the north of me.	
raktu	ko ko na raktu ta'i le nu cusku lo simsa	Don't trouble yourself saying such things.	
raktu	do raktu mi ja'e le nu mi de'a tadni la lojban	You disturb me making me not learning Lojban.	
ralci	ti noi xrula cu ralci le ka se tarmi	This flower has a delicate form.	
ralju	la alis cu ralju le nixli le ka cuxna	Alice is the main decision maker among the girls.	
ralte	mi ralte le cidja ca ro nu mi litru	I carry food whenever I travel.	
ralte	ra ralte le ka catke le karce	He keeps pushing the car.	
ralte	mi ralte le re mlatu	I keep two cats.	
rango	le risna cu sluji rango fi le ka pambe le ciblu vi'u le xadni	The heart is the muscular organ that pumps blood throughout the body.	
rango	ti rango le insekto le ka tirna	This is an organ of insects performing the function of listening.	
ranji	le gusni be fi le mi'u bombila cu ranji le mi'u nicte	The light bulb continued burning through the night.	
ranji	le djacu pu ranji le barda canlu	The water continuously covered a large space.	
ranmi	mi pu tirna le simsa ranmi be pa cevni	I heard a similar myth about a god.	
ransu	le ransu cu gunma le tunka joi tinci	Bronze is composed of copper and tin.	
ransu	ti noi vi'u pixra cu ransu	The statue is made of bronze.	
ranti	le mi'u pesxu cu ranti le danre	The dough is soft when being pressurized.	
ranxi	zo co'oi poi do pu cusku cu ranxi le ka se smuni zo coi vau le ka se smuni zo co'o	"Chao" that you said was ironic in that instead of meaning "Hi!" it actually meant "Bye!" 	
ranxi	le mi'u te ranxi cu du le nu mi na merko	The irony is that I'm not an American.	
rapli	le nu mi pu cusku zo coi le mi'u fetsi cu se rapli li ci i mi pu ci roi cusku zo coi le mi'u fetsi	I said "Hello!" to her three times.	
rapli	le mi'u pruce cu rapli li mu	The process occurs for the fifth time.	
rarna	ti noi cripu cu rarna	This bridge is a natural formation.	
ratcu	le mi'u ratcu co'i canci	The rat disappeared.	
ratni	le'e tabno cu ratni li xa li pa re	Carbon is a chemical element number 6 and usually has the isotope number 12.	
rebla	tu noi gerku cu se rebla le tordu	That dog has a short tail.	
rectu	ti rectu le bakni	This is beef.	
remna	xu le remna ku po'o ka'e cmila	Can only humans laugh?	
renro	pa nanla pu renro pa rokci le mi'u canko	A boy threw a stone at the window.	
renvi	mi mo'u renvi le mi'u xlali tcini	I survived that terrible situation.	x2: definition expects (nu, Event); example uses "le mi'u xlali tcini" (Entity: situation), not nu.
respa	le respa cu xabju le mi'u korbi be le mi'u rirxe	Reptiles inhabit the coast of the river.	
ricfu	xu do ricfu le ka ponse le tumla	Are you rich in how much land you own?	x2: definition expects Entity or Group<Entity> (goods/possessions); example uses "le ka ponse le tumla" (ka, Property), not Entity.
rigni	le mi'u cidja cu rigni mi	The food is disgusting to me.	
rijno	le mi'u sicni cu rijno	The coin is silver.	
rilti	le rilti be le mi'u pu se sanga be le mi'u nakni cu simsa le'u la la cu cu la la le mi'u'u	The rhythm of the phrase said by him was similar to {la la tcu tcu la la}.	
rimni	zo kansa rimni zo dansu la lojban le ka le ci lamji lerfu je pagbu be ce'u cu simxu le ka mintu	{kansa} rhymes with {dansu} in Lojban in that three adjacent letters in each of those words are the same.	
rinci	le djacu cu rinci pa tubnu za'u pa kevna le danre	Water drains from a tube through holes being under pressure.	
rinju	le carmi flu'ente be le le tcadu pu se rinju mi le nu mi mo'u klama le briju	Intense traffic prevented me from getting to the office.	
rinka	le nu ctuca cu rinka le nu farvi	Education is the agent of progress.	
rinsa	mi pu rinsa la alis le ka jai gau slilu fai le xance be mi	I greeted Alice by waving my hand.	
rirci	le mi'u fetsi cu rirci le ka carmi gunka vau le tadni poi dunli vo'a le ka jai nanca	She works hard which is unusual among students of her age.	
rirci	mi pu rirci fi le pendo be mi fe le ka se cinri le fasnu e nai le farna	I was unusual among my friends in being interested in events and not trends.	
rirni	la edvard cu rirni la alis	Edward is a parent of Alice.	
rirxe	ti rirxe pa sudga tumla le vifne poi flu'ente le xamsi le krasi pe le cmana le condi	This is a river in a dry land running its fresh waters in a deep river bed towards the sea from springheads in the mountains.	
rismi	mi citka le rismi su'o roi ro djedi	I eat rice every day.	
risna	mi pu ganse le nu le rinsa be mi cu sutra slilu	I felt my heart beating fast.	
ritli	le ka pinxe le tcati su'o roi ro djedi vau fi mi'a ritli le ka tavla zu'ai	To drink tea is our ritual that we perform every day in order to talk to each other.	x1: definition expects Entity (rite); example uses "le ka pinxe le tcati ..." (ka, Property). x2: definition expects (Entity or nu, Event); example uses "le ka tavla zu'ai" (ka, Property), not Entity or nu.
rivbi	mi pu rivbi le ka bilma vau le ka zenba lo ka citka kei e le ka jinru loi glare djacu	I avoided becoming ill by eating more and plunging into hot water.	
rivbi	le mi'u prenu pu rivbi lei pulji	The person evaded the police.	
rokci	le mi'u nanla ca'o renro le za'u rokci	The boy is throwing stones.	
romge	pa verba ne se pi'o le degji pu pencu le romge be le mi'u karce	A child touched the reflecting surface of the car with his finger.	
ropno	ti noi nanla cu ropno le ka tavla tai ma kau	This boy is European in how he speaks.	
rorci	le mi'u ranmi danlu cu se rorci pa remna pa bakni	The mythical animal was procreated by a human and a bull.	
rotsu	le dargu cu rotsu le ka se pagbu ti	The road is thick here.	
rozgu	pluka panci le rozgu pe le mi'u purdi	Roses in the garden have a pleasant scent.	
ruble	le mi'u laldo prenu cu ruble le ka pinxe si'u nai	The old man is weak in being able to drink himself.	
rufsu	le mi'u skapi cu rufsu	The skin is rough.	
runta	e'o te runta fi le kunra	Mineral water, please.	
runta	le mi'u jisra cu te runta le sakta jo'u le jbari le djacu	The juice is made of sugar and berries dissolved in water.	
rupnu	ti noi jisra cu rupnu li ci la e'uropas	This juice costs three euros (European major money units).	
rusko	xu do tavla fo le rusko	Do you speak Russian?	
rutni	ti noi jemna cu rutni le patfu be mi	This gem is artificial and made by my father.	
sabji	le bakni cu sabji le ladru mi'a	Cows provide us with milk.	
sabji	mi ba sabji fi do fe ro se nitcu be do	I will provide you with everything you need.	
sabji	ko sabji le ciblu mi	Be my blood donor!	
sabnu	ra pu zutse le sabnu be le mi'u blanu karce	He was sitting in the cabin of the blue car.	
sacki	ko jai gau jelca fai pa sacki	Light up a match.	
saclu	me'o re pi mu saclu li mu fe'i re li pa no	2.5 is the decimal equivalent of the fraction 5/2 in base 10.	
saclu	le saclu be li pai bei li pa no cu cimni le ka clani	The decimal expansion of the number π (pi) is infinitely long.	
sakci	le mi'u prenu pu sakci le danmo pe ra'i le mi'u fagri le fepni	He inhaled some smoke from the fire into his lungs.	
sakli	pa sportivo pu sakli le bisli	A sportsperson was gliding on the ice.	
sakli	o'i le mi'u loldi cu se sakli	Warning! The floor is slippery.	
sakta	mi djica tu'a le tcati be se cau le sakta	I want some tea without sugar.	
salci	mi pu salci le nu mi jai nanca li pa no vau le ka litru la nipon	I celebrated my 10th birthday by travelling to Japan.	
salpo	ti salpo le jganu be fi le pinta	This is a slope towards the horizontal surface.	
salta	mi nelci le salta be le grute	I like fruit salads.	
samcu	xu do pu'i citka le torta be le samcu	Have you ever eaten a cassava cake?	
sampu	ti noi skami cu sampu le ka se pilno	This computer is easy to use.	
sampu	la alis na sampu le ka te jimpe	Alice is not easy to understand.	
sance	le mi'u janbe pu se sance le cladu	The bell had a loud sound.	
sance	zo oi pu sance le mi'u bruna	{oi} was the sound the brother emitted.	
sanga	mi pu ciska le valsi e le zgike vu'o pe le se sanga	I wrote down words and melody of a song.	
sanga	le mi'u nixli ca'o sanga la'e lu mi prami do li'u	The girl is singing the song "I love you".	
sanga	mi pu troci le ka sanga zo ui	I tried to sing {ui}.	
sanji	mi sanji le ka pu srera	I am aware that I made a mistake.	
sanji	a'o le mi'u nakni cu sanji le se cinmo be mi	I hope he is aware of my feelings.	
sanli	ra pu sanli le canre le jamfu	He was standing on the sand on his feet.	
sanmi	mi pu citka pa sutra sanmi be le sovda jo'u le ckafi	I had a quick meal of eggs and coffee.	
sanso	mi nelci le sanso be le nudle bei le tamca	I like tomato sauce in noodles.	
santa	mi pu kanpe tu'a le carvi gi'e jgari pa santa	I was expecting rain and took an umbrella.	
sarcu	le nu mi sipna cu sarcu le nu mi kanro	I need to sleep to stay healthy.	
sarji	ko sarji mi le nu mi badri	Support me against my boredom.	
sarlu	le calku be ti noi luska cu sarlu	The shell of this mollusk is spiral in form.	
sarxe	le za'u vi prenu cu sarxe le rarna le ka ce'u jikca ce'u	These people are in harmony with nature in interacting with each other.	
saske	mi tadni le saske be le du'u mikce	I study the medical science.	
saske	le cmaci cu saske le du'u le namcu cu simxu le ka ckini vau le nu lanli le mi'u namcu	Mathematic is a science of how numbers are related to each other based on their analysis.	
satci	le mi'u jubme cu satci rau da le ka mitre li re le ka clani	The table is exactly two meters long.	
satci	le mi'u jubme cu satci le mitre be li pi no pa rau da le ka mitre li re le ka clani	The table is two meters long within an error of 0.01 meters.	
satre	la kevin pu satre pa mlatu le xance	Kevin stroke a cat with a hand.	
savru	da savru bu'u le mi'u kumfa	The room is noisy.	
